id,label,Field_1
0,1,2019-07-24T03:39:02.854Z
1,0,
2,0,2019-01-17T07:15:26.367Z
3,0,
4,1,
5,0,
6,0,2019-08-29T07:15:26.92Z
7,1,2019-12-04T09:08:34Z
8,0,2017-12-27T17:31:15Z
9,0,
10,1,
11,1,2019-03-23T14:26:27.769Z
12,1,2019-03-23T14:26:27.769Z
13,0,2019-03-04T07:11:03.769Z
14,0,
15,0,
16,0,
17,1,
18,0,
19,0,
20,0,
21,0,
22,1,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,2019-12-17T09:49:52.939Z
30,0,2017-02-17T10:51:36.333Z
31,0,2019-07-29T14:53:23.142Z
32,0,2019-07-17T07:49:20.831Z
33,1,
34,0,
35,0,2018-12-10T08:36:05.156Z
36,0,
37,0,
38,1,2018-07-26T12:29:00.158Z
39,1,
40,1,2019-06-14T02:17:14.407Z
41,0,
42,0,
43,1,2019-12-17T09:49:52.939Z
44,0,
45,0,
46,1,
47,1,
48,0,
49,0,2019-03-15T07:27:31.398Z
50,1,2017-02-17T11:51:53.373Z
51,0,2019-02-28T01:27:45.783Z
52,0,2019-08-12T10:16:03.498Z
53,1,2019-10-11T07:49:16Z
54,1,
55,1,2019-11-12T08:31:21.475Z
56,0,2019-10-15T08:55:13.647Z
57,0,
58,1,2019-05-03T08:39:15.194Z
59,0,2018-11-13T03:20:30Z
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,2019-12-14T01:19:48.379Z
68,0,2019-03-01T08:51:51Z
69,0,2018-12-31T04:06:20.784Z
70,0,2019-08-20T07:52:13.105Z
71,1,
72,1,
73,0,
74,1,
75,1,
76,0,2019-06-05T02:22:24.523Z
77,0,2019-09-01T04:49:02Z
78,0,2019-07-17T01:14:29.079Z
79,0,2019-07-17T01:14:29.079Z
80,1,2019-04-01T03:27:54.633Z
81,0,2018-06-02T02:28:41Z
82,1,2019-12-20T10:28:01.521Z
83,1,2017-12-25T01:20:38.096Z
84,0,2017-12-25T01:20:38.096Z
85,0,
86,0,
87,0,2019-02-20T08:36:07.755Z
88,1,2019-06-24T03:39:12.489Z
89,0,
90,0,2018-12-26T07:11:29.766Z
91,0,
92,0,2019-11-06T04:16:58.147Z
93,1,2017-01-21T10:26:13.583Z
94,0,2019-07-30T01:55:47.556Z
95,1,2019-08-23T03:51:57.118Z
96,0,
97,0,
98,0,2017-01-21T10:26:13.583Z
99,0,2017-01-21T10:26:13.583Z
100,0,2017-01-21T10:26:13.583Z
101,0,2019-02-01T00:59:23.367Z
102,0,2018-12-06T07:23:08.41Z
103,0,2018-12-31T01:24:08.573Z
104,0,2018-12-17T08:28:45.505Z
105,0,
106,1,2019-03-01T02:42:42.296Z
107,0,2019-11-19T07:03:05.731Z
108,1,
109,0,2019-09-22T15:12:04.83Z
110,1,
111,1,
112,0,2019-08-09T07:34:17.862Z
113,0,2017-01-21T08:06:34.387Z
114,0,
115,0,
116,0,2017-03-17T12:23:21.407Z
117,0,2018-12-28T11:42:20.726Z
118,0,2018-12-21T10:21:02.795Z
119,0,2019-08-31T08:51:12.522Z
